West Longitude,South Latitude,East Longitude,North Latitude,IDgrid,Valid
-49.3362690904,-25.6394132162,-49.3321868176,-25.6334402124,64,0
-49.3321868176,-25.6394132162,-49.3281045449,-25.6334402124,65,0
-49.3281045449,-25.6394132162,-49.3240222722,-25.6334402124,66,1
-49.3240222722,-25.6394132162,-49.3199399994,-25.6334402124,67,0
-49.3199399994,-25.6394132162,-49.3158577267,-25.6334402124,68,0
-49.3158577267,-25.6394132162,-49.3117754539,-25.6334402124,69,0
-49.3117754539,-25.6394132162,-49.3076931812,-25.6334402124,70,0
-49.3076931812,-25.6394132162,-49.3036109085,-25.6334402124,71,0
-49.3036109085,-25.6394132162,-49.2995286357,-25.6334402124,72,0
-49.2995286357,-25.6394132162,-49.295446363,-25.6334402124,73,0
-49.295446363,-25.6394132162,-49.2913640902,-25.6334402124,74,0
-49.2913640902,-25.6394132162,-49.2872818175,-25.6334402124,75,0
-49.2872818175,-25.6394132162,-49.2831995448,-25.6334402124,76,0
-49.2831995448,-25.6394132162,-49.279117272,-25.6334402124,77,0
-49.279117272,-25.6394132162,-49.2750349993,-25.6334402124,78,0
-49.2750349993,-25.6394132162,-49.2709527265,-25.6334402124,79,0
-49.2709527265,-25.6394132162,-49.2668704538,-25.6334402124,80,0
-49.2668704538,-25.6394132162,-49.2627881811,-25.6334402124,81,0
-49.2627881811,-25.6394132162,-49.2587059083,-25.6334402124,82,0
-49.2587059083,-25.6394132162,-49.2546236356,-25.6334402124,83,0
-49.2546236356,-25.6394132162,-49.2505413628,-25.6334402124,84,0
-49.2505413628,-25.6394132162,-49.2464590901,-25.6334402124,85,0
-49.2464590901,-25.6394132162,-49.2423768174,-25.6334402124,86,0
-49.2423768174,-25.6394132162,-49.2382945446,-25.6334402124,87,0
-49.2382945446,-25.6394132162,-49.2342122719,-25.6334402124,88,0
-49.2342122719,-25.6394132162,-49.2301299991,-25.6334402124,89,0
-49.2301299991,-25.6394132162,-49.2260477264,-25.6334402124,90,0
-49.2260477264,-25.6394132162,-49.2219654537,-25.6334402124,91,0
-49.2219654537,-25.6394132162,-49.2178831809,-25.6334402124,92,0
-49.2178831809,-25.6394132162,-49.2138009082,-25.6334402124,93,0
-49.2138009082,-25.6394132162,-49.2097186354,-25.6334402124,94,0
-49.2097186354,-25.6394132162,-49.2056363627,-25.6334402124,95,0
-49.2056363627,-25.6394132162,-49.20155409,-25.6334402124,96,0
-49.20155409,-25.6394132162,-49.1974718172,-25.6334402124,97,0
-49.1974718172,-25.6394132162,-49.1933895445,-25.6334402124,98,0
-49.1933895445,-25.6394132162,-49.1893072717,-25.6334402124,99,0
-49.1893072717,-25.6394132162,-49.185224999,-25.6334402124,100,0
-49.389338636,-25.6334402124,-49.3852563633,-25.6274672085,101,0
-49.3852563633,-25.6334402124,-49.3811740905,-25.6274672085,102,0
-49.3811740905,-25.6334402124,-49.3770918178,-25.6274672085,103,0
-49.3770918178,-25.6334402124,-49.373009545,-25.6274672085,104,0
-49.373009545,-25.6334402124,-49.3689272723,-25.6274672085,105,0
-49.3689272723,-25.6334402124,-49.3648449996,-25.6274672085,106,1
-49.3648449996,-25.6334402124,-49.3607627268,-25.6274672085,107,1
-49.3607627268,-25.6334402124,-49.3566804541,-25.6274672085,108,1
-49.3566804541,-25.6334402124,-49.3525981813,-25.6274672085,109,1
-49.3525981813,-25.6334402124,-49.3485159086,-25.6274672085,110,1
-49.3485159086,-25.6334402124,-49.3444336359,-25.6274672085,111,1
-49.3444336359,-25.6334402124,-49.3403513631,-25.6274672085,112,1
-49.3403513631,-25.6334402124,-49.3362690904,-25.6274672085,113,1
-49.3362690904,-25.6334402124,-49.3321868176,-25.6274672085,114,1
-49.3321868176,-25.6334402124,-49.3281045449,-25.6274672085,115,1
-49.3281045449,-25.6334402124,-49.3240222722,-25.6274672085,116,1
-49.3240222722,-25.6334402124,-49.3199399994,-25.6274672085,117,1
-49.3199399994,-25.6334402124,-49.3158577267,-25.6274672085,118,0
-49.3158577267,-25.6334402124,-49.3117754539,-25.6274672085,119,0
-49.3117754539,-25.6334402124,-49.3076931812,-25.6274672085,120,0
-49.3076931812,-25.6334402124,-49.3036109085,-25.6274672085,121,0
-49.3036109085,-25.6334402124,-49.2995286357,-25.6274672085,122,0
-49.2995286357,-25.6334402124,-49.295446363,-25.6274672085,123,0
-49.295446363,-25.6334402124,-49.2913640902,-25.6274672085,124,0
-49.2913640902,-25.6334402124,-49.2872818175,-25.6274672085,125,0
-49.2872818175,-25.6334402124,-49.2831995448,-25.6274672085,126,0
-49.2831995448,-25.6334402124,-49.279117272,-25.6274672085,127,0
-49.279117272,-25.6334402124,-49.2750349993,-25.6274672085,128,0
-49.2750349993,-25.6334402124,-49.2709527265,-25.6274672085,129,0
-49.2709527265,-25.6334402124,-49.2668704538,-25.6274672085,130,0
-49.2668704538,-25.6334402124,-49.2627881811,-25.6274672085,131,0
-49.2627881811,-25.6334402124,-49.2587059083,-25.6274672085,132,0
-49.2587059083,-25.6334402124,-49.2546236356,-25.6274672085,133,0
-49.2546236356,-25.6334402124,-49.2505413628,-25.6274672085,134,0
-49.2505413628,-25.6334402124,-49.2464590901,-25.6274672085,135,0
-49.2464590901,-25.6334402124,-49.2423768174,-25.6274672085,136,0
-49.2423768174,-25.6334402124,-49.2382945446,-25.6274672085,137,0
-49.2382945446,-25.6334402124,-49.2342122719,-25.6274672085,138,0
-49.2342122719,-25.6334402124,-49.2301299991,-25.6274672085,139,0
-49.2301299991,-25.6334402124,-49.2260477264,-25.6274672085,140,0
-49.2260477264,-25.6334402124,-49.2219654537,-25.6274672085,141,0
-49.2219654537,-25.6334402124,-49.2178831809,-25.6274672085,142,0
-49.2178831809,-25.6334402124,-49.2138009082,-25.6274672085,143,0
-49.2138009082,-25.6334402124,-49.2097186354,-25.6274672085,144,0
-49.2097186354,-25.6334402124,-49.2056363627,-25.6274672085,145,0
-49.2056363627,-25.6334402124,-49.20155409,-25.6274672085,146,0
-49.20155409,-25.6334402124,-49.1974718172,-25.6274672085,147,0
-49.1974718172,-25.6334402124,-49.1933895445,-25.6274672085,148,0
-49.1933895445,-25.6334402124,-49.1893072717,-25.6274672085,149,0
-49.1893072717,-25.6334402124,-49.185224999,-25.6274672085,150,0
-49.389338636,-25.6274672085,-49.3852563633,-25.6214942047,151,0
-49.3852563633,-25.6274672085,-49.3811740905,-25.6214942047,152,0
-49.3811740905,-25.6274672085,-49.3770918178,-25.6214942047,153,0
-49.3770918178,-25.6274672085,-49.373009545,-25.6214942047,154,0
-49.373009545,-25.6274672085,-49.3689272723,-25.6214942047,155,0
-49.3689272723,-25.6274672085,-49.3648449996,-25.6214942047,156,0
-49.3648449996,-25.6274672085,-49.3607627268,-25.6214942047,157,0
-49.3607627268,-25.6274672085,-49.3566804541,-25.6214942047,158,1
-49.3566804541,-25.6274672085,-49.3525981813,-25.6214942047,159,1
-49.3525981813,-25.6274672085,-49.3485159086,-25.6214942047,160,1
-49.3485159086,-25.6274672085,-49.3444336359,-25.6214942047,161,1
-49.3444336359,-25.6274672085,-49.3403513631,-25.6214942047,162,1
-49.3403513631,-25.6274672085,-49.3362690904,-25.6214942047,163,1
-49.3362690904,-25.6274672085,-49.3321868176,-25.6214942047,164,1
-49.3321868176,-25.6274672085,-49.3281045449,-25.6214942047,165,1
-49.3281045449,-25.6274672085,-49.3240222722,-25.6214942047,166,1
-49.3240222722,-25.6274672085,-49.3199399994,-25.6214942047,167,1
-49.3199399994,-25.6274672085,-49.3158577267,-25.6214942047,168,1
-49.3158577267,-25.6274672085,-49.3117754539,-25.6214942047,169,1
-49.3117754539,-25.6274672085,-49.3076931812,-25.6214942047,170,1
-49.3076931812,-25.6274672085,-49.3036109085,-25.6214942047,171,0
-49.3036109085,-25.6274672085,-49.2995286357,-25.6214942047,172,0
-49.2995286357,-25.6274672085,-49.295446363,-25.6214942047,173,0
-49.295446363,-25.6274672085,-49.2913640902,-25.6214942047,174,0
-49.2913640902,-25.6274672085,-49.2872818175,-25.6214942047,175,0
-49.2872818175,-25.6274672085,-49.2831995448,-25.6214942047,176,0
-49.2831995448,-25.6274672085,-49.279117272,-25.6214942047,177,0
-49.279117272,-25.6274672085,-49.2750349993,-25.6214942047,178,0
-49.2750349993,-25.6274672085,-49.2709527265,-25.6214942047,179,0
-49.2709527265,-25.6274672085,-49.2668704538,-25.6214942047,180,0
-49.2668704538,-25.6274672085,-49.2627881811,-25.6214942047,181,0
